Location,ULCS No.,ID,Date Report Issued,Location (Room/Area),,Recommended Corrective Action,Category,Respon-sibility*,Notes,Status,"Date of
Update",Location Closed,Start Date,End Date
Adaire ES,5200,16,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,Replace air filter with appropriate size and model. The filters should be changed on a regular basis.,Ventilation,F,Trailer removed from site per Damon Gonzaga.,closed,2/11/2011,YES,,
Adaire ES,5200,17,1/28/11,"Trailer #98
(ESL Trailer - No longer in use)",,OEMS should be notified if this classroom trailer becomes occupied.  ,Ventilation,F,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,18,1/28/11,"Trailer #99
(After School Program)",,Replace the water stained sheetrock. Evaluate roof for leaks and repair as needed.,Mold/Moisture,C,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,19,1/28/11,"Trailer #99
(After School Program)",,Repair any holes in the skirting around the trailer to prevent animals from entering the crawlspace.,Ventilation,C,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,20,1/28/11,"Trailer #99
(After School Program)",,Replace air filter with appropriate size and model. The filters should be changed on a regular basis.,Ventilation,F,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES,5200,21,1/28/11,"Trailer #99
(After School Program)",,Inspect the fresh air damper for operation and ensure it is not blocked. Adjust fresh air intake as necessary to provide an adequate amount of fresh air for the number of occupants. ,Ventilation,M,Trailer removed from site per Damon Gonzaga.,closed,9/16/11,YES,,
Adaire ES ,5200,22,11/17/2010,Boiler Room,,Remove all standing water; Clean and disinfect the floor.,Mold/Moisture,F,Completed per the School Principal and the Building Engineer.,closed,12/16/2010,YES,,
Adaire ES ,5200,23,11/17/2010,"Main Office, Principal's Office, Copy Room, Hallway",,Extract the remaining standing water and open windows to ventilate.,Mold/Moisture,F,Completed per the School Principal and the Building Engineer.,closed,12/16/2010,YES,,
Adaire ES ,5200,24,11/17/2010,"Main Office, Principal's Office, Copy Room, Hallway",,Move all movable objects and clean and disinfect the floor using Portion Pac germicidal #264.,Mold/Moisture,F,Completed per the School Principal and the Building Engineer.,closed,12/16/2010,YES,,
Adaire ES ,5200,25,11/17/2010,"Main Office, Principal's Office, Copy Room, Hallway",,"Clean and disinfect the sides and bottoms of the affected file cabinets, desks, chairs, bookcases and unit ventilator covers.",Mold/Moisture,F,Completed per the School Principal and the Building Engineer,closed,12/16/2010,YES,,
Adaire ES ,5200,26,11/17/2010,"Main Office, Principal's Office, Copy Room, Hallway",,Discard any porous materials that were affected such as paper and cardboard boxes.,Mold/Moisture,F,Completed per the School Principal and the Building Engineer.,closed,12/16/2010,YES,,
Adaire ES ,5200,27,11/17/2010,"Main Office, Principal's Office, Copy Room, Hallway",,Clean and disinfect all affected plumbing fixtures including the drinking water bubblers in the hallway.,Mold/Moisture,F,Completed per the School Principal and the Building Engineer.,closed,12/16/2010,YES,,
Alternative Education Regional Center,5030,1,"9/1/2010, 9/3/2010, 9/13/2010",Rec Area #1 - Storage Closet,,Remove and dispose of 80 square feet of sheetrock exhibiting mold growth.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,2,"9/1/2010, 9/3/2010, 9/13/2010",Rec Area #1 - Storage Closet,,Inspect the wall cavity for concealed mold growth during the removal process.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,3,"9/1/2010, 9/3/2010, 9/13/2010",Rec Area #1 - Storage Closet,,HEPA vacuum and wipe clean room contents.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,4,"9/1/2010, 9/3/2010, 9/13/2010",Rec Area #1 - Storage Closet,,Replace the water-stained ceiling tiles and repaint the affected sheetrock walls.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,5,"9/1/2010, 9/3/2010, 9/13/2010",Roof,,"Evaluate and repair the roof over rooms 180, 181, 184, 186, N-1 and the Recreational Area #1 Storage Closet to prevent additional mold growth and water damaged building material.",Mold/Moisture,M,Recommended O&M Plan drafted for maintenance.  Work was initiated on 1/31/2011.  Roof repairs completed.  Sheetrock replacement will be scheduled.,closed,7/28/11,YES,,
Alternative Education Regional Center,5030,6,"9/1/2010, 9/3/2010, 9/13/2010",Room 180,,Remove the affected wallboard and fiberglass wall insulation (wall adjacent to the hallway wall) to a height of 2’ to 5’ feet depending on the severity of the contaminated wallboard; Repaint as required.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,7,"9/1/2010, 9/3/2010, 9/13/2010",Room 180,,HEPA vacuum and wipe clean room contents.,Mold/Moisture,M,Completed per KEM.,closed,2/25/2011,YES,,
Alternative Education Regional Center,5030,8,"9/1/2010, 9/3/2010, 9/13/2010",Room 181,,Remove and dispose of 12 square feet of sheetrock exhibiting mold growth.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,9,"9/1/2010, 9/3/2010, 9/13/2010",Room 181,,Remove the affected wallboard and fiberglass wall insulation (walls adjacent to room 180 and hallway) to a height of 2’ to 5’ feet depending on the severity of the contaminated wallboard; Repaint as required.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,10,"9/1/2010, 9/3/2010, 9/13/2010",Room 181,,HEPA vacuum and wipe clean room contents.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,11,"9/1/2010, 9/3/2010, 9/13/2010",Room 184,,Remove the affected wallboard and fiberglass wall insulation (wall adjacent to room 186) to a height of 2’ to 5’ feet depending on the severity of the contaminated wallboard; Repaint as required.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,12,"9/1/2010, 9/3/2010, 9/13/2010",Room 184,,HEPA vacuum and wipe clean room contents.,Mold/Moisture,M,Completed per KEM.,closed,2/25/2011,YES,,
Alternative Education Regional Center,5030,13,"9/1/2010, 9/3/2010, 9/13/2010",Room 186,,Remove the affected wallboard and fiberglass wall insulation (wall adjacent to the rear wall of room 184) to a height of 2’ to 5’ feet depending on the severity of the contaminated wallboard; Repaint as required.,Mold/Moisture,M,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/2011,YES,,
Alternative Education Regional Center,5030,14,"9/1/2010, 9/3/2010, 9/13/2010",Room 186,,HEPA vacuum and wipe clean room contents.,Mold/Moisture,M,Completed per KEM.,closed,2/25/2011,YES,,
Alternative Education Regional Center,5030,15,"9/1/2010, 9/3/2010, 9/13/2010","Rooms 180, 181, 184, 186 and N-2",,Replace the water-stained ceiling tiles.,Mold/Moisture,F,Work was initiated on 1/31/2011. Completed per KEM.,closed,1/20/11,YES,,
AMY NW (Levering) ,6290,1,2/7/2011,Annex stairwell near room 9,,Replace the 2 missing ceiling tiles.,Housekeeping,F,"Completed per FAC, Tom Sharer email, of 03/04/2011.",closed,3/9/2011,NO,,
AMY NW (Levering) ,6290,2,2/7/2011,Room 7,,Replace the 4 water stained ceiling tiles.,Mold/Moisture,F,"Completed per FAC, Tom Sharer email, of 03/04/2011.",closed,3/9/2011,NO,,
AMY NW (Levering) ,6290,3,2/7/2011,Room 7,,Clean the exterior wall where the old cast iron radiator was located with a mild detergent solution and repaint.,Mold/Moisture,F,"Completed per FAC, Tom Sharer email, of 03/03/2011.",closed,3/9/2011,NO,,
AMY NW (Levering) ,6290,4,2/7/2011,Room 7,,Clean the particulate accumulation from the supply and return grilles with a HEPA vacuum and wet wipe with a mild detergent solution.,Ventilation,F,"Completed per FAC, Tom Sharer email, of 03/03/2011.",closed,3/9/2011,NO,,
AMY NW (Levering) ,6290,5,5/15/13,Basement Custodial Bathroom,,Repair steam leak located in the bathroom pipe chase.,Mold/Moisture,F,"Near the end of the heating season, a steam leak occurred in the basement custodial closet pipe chase.  No mold growth or musty odors were observed during the evaluation.  The restroom wall adjacent to the pipe chase is constructed of cinder block and ceramic tile.  ",closed,4/9/14,NO,,
AMY NW (Levering) ,6290,6,5/15/13,Basement Custodial Bathroom,,Discard the sections of fireproofing that fell on the suspended ceiling tiles.,Point Source,F,Sections of spray-on fireproofing fell from the metal decking from the steam leak and excessive moisture.  The fireproofing was sampled and found NOT to contain asbestos.,closed,4/9/14,NO,,
AMY NW (Levering) ,6290,7,5/15/13,Basement Custodial Bathroom,,  Replace water stained and missing suspended ceiling tiles.,Mold/Moisture,F,Water stained and missing suspended ceiling tiles were observed. ,closed,4/9/14,NO,,
AMY NW (Levering) ,6290,8,10/12/11,2nd floor Women Teacher's Room (used as office),,Repair the damaged plaster ceiling and wall located the 2nd floor Women Teacher's Room which is being used as an office.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,9,10/12/11,Building wide,,Evaluate the exterior pointing and roof. Perform repairs as necessary to stop water intrusion.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,10,10/12/11,Hallway outside Room 305,,Repair the moisture damaged plaster walls located above the window in the hallway outside Room 305,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,11,10/12/11,Room 107 closet,,Repair the damaged plaster wall located within Room 107 closet.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,12,10/12/11,Room 207 closet,,Repair the damaged plaster wall located within Room 207 closet.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,13,10/12/11,Room 307 ,,Repair the damaged canvas on the asbestos containing pipe riser. An asbestos DDC was submitted on 10/4/2011.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,14,10/12/11,Room 307 closet,,Repair the damaged plaster wall located within Room 307 closet.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,15,10/12/11,South Stairwell,,Repair the damaged plaster in the south stairwell and clean plaster debris from the floor.,Mold/Moisture,M,,open,10/12/11,NO,,
AMY NW (Levering) ,6290,16,8/25/14,2nd floor Boy's Room,,Remove loose paint and plaster from the ceiling as needed until the source of moisture is corrected.  All work should be completed in accordance with lead safe work practices. Once corrected a work order should be issued for the repair of the plaster.  ,Point Source,F,Moisture damaged paint and plaster was observed on the ceiling.  ,open,8/25/14,NO,,
AMY NW (Levering) ,6290,17,8/25/14,Attic in the Addition,,An evaluation of the attic should be conducted and DDC's prepared as needed for clean-up and/or sealing of the attic.,Point Source,OEMS,Damaged asbestos containing pipe insulation was observed and suspect areas of debris were observed on the floor.,open,8/25/14,NO,,
AMY NW (Levering) ,6290,18,8/25/14,Bathroom Plumbing Stack adjacent to Room 101,,Evaluate the bathroom plumbing stack adjacent to Room 101 and associated pipe chases for source of moisture.  Work orders should be issued as needed for the repair.,Mold/Moisture,F," The source of moisture impacting the closet in Room 101 and the adjacent bathrooms on the 1st and 2nd floors appeared to be from an active plumbing leak.  Since the plaster ceilings were damaged in the 1st and 2nd bathrooms, the leak may be occurring in the 3rd floor bathroom pipe chase/wall cavity.",open,8/25/14,NO,,
AMY NW (Levering) ,6290,19,8/25/14,Faculty Room next to Room 101,,Remove loose paint and plaster from the ceiling and debris from the top of the vending machine and lockers.  The top of the vending machine and lockers should be wet wiped and the floor mopped on an as needed basis until the source of moisture is corrected. All work should be completed  in accordance with lead safe work practices. Once corrected a work order should be issued for the repair of the plaster.  ,Point Source,F,Moisture damaged paint and plaster was observed on the ceiling.  Paint and plaster debris was observed on top of the vending machine and lockers.,open,8/25/14,NO,,
AMY NW (Levering) ,6290,20,8/25/14,Room 101 ,,The loose paint and plaster should be removed from the wall in accordance with lead safe work practices.  A work order should be issued for the evaluation of the brick pointing on this wall.,Point Source,F,The paint and plaster on the blackboard wall was beginning to flake and delaminate.,open,8/25/14,NO,,
AMY NW (Levering) ,6290,21,8/25/14,Room 101 Closet,,"Remove loose paint and plaster from the walls and ceiling.  Remove the paint and plaster debris from the light fixtures and floor.  The floor should be mopped on an as needed basis until the source of moisture is corrected. All work should be completed in accordance with lead safe work practices. Once corrected, a work order should be issued for the repair of the plaster.  ",Point Source,F,No signs of mold growth were observed in the closet.  Moisture damaged paint/plaster was observed.  Paint and plaster debris was observed on the light fixtures and floor.,open,8/25/14,NO,,
Anderson ES,1460,1,9/15/2010,Auditorium,,"OPEN WORK ORDER: Perform Mold/Moisture Assessment, contractor suspects mold in the concealed spline ceiling system inside the auditorium. (WO # 765382).",Mold/Moisture,OEMS,New roof and suspended ceiling installed in August 2010 per SDP's Design and Construction Department (Jesse Jones).,closed,9/15/10,YES,,
Bache ES,2210,1,10/12/11,Basement Hallway adjacent to the Boiler Room,,Evaluate source of moisture intrusion and correct as necessary.  Extract standing water and dry the floor.  Discard wetted contents. ,Mold/Moisture,F,Per Facilities: Engineering staff has cleaned out all damaged material. Area floods every it rains. Masonry work order #801585. Area cleaned after each rain event.,closed,1/9/12,NO,,
Bache ES,2210,2,10/12/11,Basement Hallway adjacent to the cafeteria,,Replace the section of fiberglass pipe insulation exhibiting mold growth. ,Mold/Moisture,F,Completed per FAC,closed,10/12/11,NO,,
Bache ES,2210,3,10/12/11,Basement Hallway adjacent to the cafeteria,,Remove impacted material by undercutting the wooden partition wall approximately 4 inches from floor. ,Mold/Moisture,M,completed per Maintenance,closed,11/10/11,NO,,
Bache ES,2210,4,10/12/11,Exterior decorative trim,,Evaluate the section of decorative trim that has shifted from the exterior wall on Beechwood Street and stabilize if necessary.,Safety,M,,closed,10/18/12,NO,,
Bache ES,2210,5,10/12/11,Hallway outside Room 20,,Repair water damaged plaster wall in the hallway adjacent to Room 20.,Mold/Moisture,M,Completed per Maintenance,closed,3/26/12,NO,,
Bache ES,2210,6,10/12/11,IMC,,Repair water damaged plaster wall in the IMC.,Mold/Moisture,M,Completed per Maintenance,closed,3/26/12,NO,,
Bache ES,2210,7,10/12/11,"IMC, Stairwell and Hallways",,"Replace water stained ceiling tiles in the IMC, Stairwell and Hallway outside Room 20.",Mold/Moisture,F,Completed per FAC,closed,10/12/11,NO,,
Bache ES,2210,8,10/12/11,Main Roof/Attic,,Replace section of missing roof located along the end rafter at Beechwood Street. Evaluate downspouts and gutters and clear if necessary.,Exterior,M,Completed per Maintenance,closed,3/26/12,NO,,
Bache ES,2210,9,10/12/11,Storage Room off Boiler Room,, Extract standing water and discard all wetted and moldy materials in the storage room.  Discontinue use of this area and designate a dry area of the building for storage.,Mold/Moisture,F,Per Facilities: Engineering staff has cleaned out all damaged material. Area floods every it rains. Masonry work order #801585. Area cleaned after each rain event.,closed,1/9/12,NO,,
Bache ES,2210,10,1/24/12,Basement hallway adjacent to the boiler room,,Conduct dye test of the drain lines located in the basement window light wells for cracks or other deficiencies that could be contributing to the moisture intrusion through the foundation wall.,Mold/Moisture,M,Closed per Maintenance,closed,3/26/12,NO,,
Bache ES,2210,11,1/24/12,Closet located outside Room 6,,A mold DDC was issued on 1/12/2012 for the remediation of the mold growth identified in  book closet and contents outside room 6.,Mold/Moisture,M,completed per Maintenance,closed,3/26/12,NO,,
Bache ES,2210,12,1/24/12,Exterior,,Repair cracked downspout located adjacent to the rear stairwell in the paved play area.,Mold/Moisture,M,,closed,10/18/12,NO,,
Bache ES,2210,13,1/24/12,Facilities Storage Supply Room,,"Discard water stained, moldy and wet materials.  Store remaining items on pallets and relocated away from the exterior wall.",Mold/Moisture,F,Facilities is in the process of discarding items from the storage room. Completed per Facilities.,closed,2/8/12,NO,,
